# Kazakh source | Russian | English. {0}, {1} preserve dynamic data.
Тіл|Язык|Language
Ойнату үшін 0-түсте және кемінде бір қарсыласта қала болсын|Для игры нужен город у цвета 0 и хотя бы одного соперника|To play, color 0 and at least one opponent must have a town
Картада байланыссыз жер немесе жарамсыз нысан бар|На карте есть несвязная земля или недопустимый объект|The map contains disconnected land or an invalid object
Қолданғанда карта жаңа кездейсоқ seed-пен қайта жасалады.|При применении карта будет создана заново с новым случайным seed.|Applying recreates the map with a new random seed.
Хабарлама жазыңыз|Напишите сообщение|Write a message
Бұл елмен хат алмасу әлі басталған жоқ.|Переписка с этой страной ещё не началась.|No messages have been exchanged with this country yet.
Сіз → {0}|Вы → {0}|You → {0}
{0} → Сіз|{0} → Вы|{0} → You
{0} · {1}-раунд|{0} · Раунд {1}|{0} · Round {1}
{0}-ход · {1} {2}|Ход {0} · {1} {2}|Turn {0} · {1} {2}
{0} ойыншысының {1} даулы жері|Спорных земель игрока {0}: {1}|{0}: {1} disputed land cells
{0} жер|{0} клеток земли|{0} land cells
Жер бөлісу|Раздел земель|Land settlement
Оның сізбен және сіздің достарыңызбен достығы тоқтайды. Кейін екі жақ қарсы тараптың достарымен жаңа достық құра алмайды.\n\nОртақ қатынас: −35.\nБелсенді ортақ соғыс, жер бөлісу немесе қонақ әскер бар болса, одақ бұзылмайды.|Его дружба с вами и вашими друзьями закончится. Обе стороны больше не смогут дружить с друзьями другой стороны.\n\nОбщие отношения: −35.\nСоюз нельзя расторгнуть при общей войне, разделе земель или гостевых войсках.|Their friendship with you and your friends will end. Neither side can form new friendships with the other side's friends.\n\nMutual relations: −35.\nAlliances remain binding during a shared war, land settlement or troop hosting.
Достықты шынымен тоқтатасыз ба? {0} ойыншысына {1} ақша × {2} ход = {3} ақша өтем төлейсіз.|Прекратить дружбу? Игроку {0} вы выплатите {1} × {2} ходов = {3} компенсации.|End friendship? You will pay {0} compensation of {1} × {2} turns = {3}.
Әскери одақты тоқтатасыз ба? Белсенді ортақ соғыс немесе одақтас жерінде әскер тұрса, одақты бұзуға болмайды.|Расторгнуть военный союз? Это невозможно при общей войне или войсках на союзной земле.|End military alliance? You cannot leave during a shared war or while troops are on allied land.
{0} ойыншысына шынымен соғыс жариялайсыз ба?|Объявить войну игроку {0}?|Declare war on {0}?
Боттар одағы: барлық жұпта кемінде +{0}. Одақ үлкейген сайын талап өседі; сенімнен бөлек стратегиялық пайда да қажет.|Союз ботов: не менее +{0} между каждой парой. С ростом союза требования повышаются; кроме доверия нужна стратегическая выгода.|AI alliances require at least +{0} between every pair. Larger alliances need more trust and a strategic benefit.
+ сізге · − сізден. Қарыз — қалған толық сома. /ход — келісімдегі төлем; нақты төлем табыс пен қазынаға байланысты. x — қалған ход саны.|+ вам · − от вас. Долг — вся оставшаяся сумма. /ход — платёж по договору; фактическая выплата зависит от дохода и казны. x — оставшиеся ходы.|+ to you · − from you. Debt is the full remaining amount. /turn is the agreed payment; actual payments depend on income and treasury. x is turns remaining.
Күту мерзімін, ақшаны және соғыс/қара белгіні тексеріңіз|Проверьте срок ожидания, деньги, войну и чёрную метку|Check the cooldown, money, war and blacklist
Жаңа айырбас ұсынысы|Новое предложение обмена|New trade offer
Әскери одақ ұсынысы|Предложение военного союза|Military alliance offer
{0} және {1} 12 ходқа дос болады|{0} и {1} станут друзьями на 12 ходов|{0} and {1} become friends for 12 turns
{0} және {1} әскери одақ құрады|{0} и {1} создадут военный союз|{0} and {1} form a military alliance
{0} және {1} соғысты тоқтатады|{0} и {1} прекратят войну|{0} and {1} end their war
Қайта соғыс жариялауға 9 ходтық тыйым қойылады|Повторная война запрещена на 9 ходов|Declaring war again is blocked for 9 turns
Ақша|Деньги|Money
Ақша · ${0}|Деньги · ${0}|Money · ${0}
Субсидия · ${0} × {1}|Субсидия · ${0} × {1}|Subsidy · ${0} × {1}
Жер / теңіз · {0}|Земля / море · {0}|Land / sea · {0}
ештеңе|ничего|nothing
Ештеңе|Ничего|Nothing
{0} ақша|{0} денег|{0} money
{0} ақша (қазіргі қазынадан {1}, қалған {2} — қарыз)|{0} денег ({1} из казны, оставшиеся {2} — в долг)|{0} money ({1} from treasury, remaining {2} as debt)
{0} жер, {1} теңіз активі (бағасы {2})|{0} земель, {1} морских активов (стоимость {2})|{0} land cells, {1} sea assets (value {2})
{0} ходтық достық|Дружба на {0} ходов|Friendship for {0} turns
{0} ходтық әскери одақ|Военный союз на {0} ходов|Military alliance for {0} turns
{0} ойыншысына соғыс жариялау|Объявить войну игроку {0}|Declare war on {0}
{0} ойыншысымен соғысты тоқтату және 9 ходтық тыйым|Закончить войну с {0}, запрет войны на 9 ходов|End war with {0}, 9-turn war cooldown
{0} ойыншысымен қара белгіні алу|Снять чёрную метку с {0}|Remove blacklist with {0}
{0} ақша × {1} ход (кіріс шегімен қазір {2}/ход)|{0} денег × {1} ходов (с учётом дохода сейчас {2}/ход)|{0} money × {1} turns (currently {2}/turn within income limit)
Әр ходтағы ақша|Деньги за ход|Money per turn
Ұзақтығы|Длительность|Duration
Одақ мерзімі|Срок союза|Alliance duration
Достық мерзімі|Срок дружбы|Friendship duration
Қолжетімді мемлекет жоқ|Нет доступных стран|No countries available
Мемлекетті таңдаңыз|Выберите страну|Choose a country
Жер мен теңіз активін таңдау|Выбор земли и морских активов|Select land and sea assets
Ештеңе таңдалмады|Ничего не выбрано|Nothing selected
{0} жер · {1} теңіз активі · бағасы {2}|{0} земель · {1} морских активов · стоимость {2}|{0} land cells · {1} sea assets · value {2}
{0} ойыншысының жер үлесі|Доля земли игрока {0}|{0}'s land share
Жер және теңіз активтері|Земля и морские активы|Land and sea assets
Таңдауды растау|Подтвердить выбор|Confirm selection
Тұмандағы теңіз активін таңдауға болмайды|Нельзя выбрать морской актив в тумане|Cannot select a sea asset in fog
Бұл теңіз активін осы тарап бере алмайды|Эта сторона не может передать этот морской актив|This side cannot transfer this sea asset
Тұмандағы жерді таңдауға болмайды|Нельзя выбрать землю в тумане|Cannot select land in fog
Бұл жерді осы тарап бере алмайды|Эта сторона не может передать эту землю|This side cannot transfer this land
Тұмандағы даулы жерді таңдауға болмайды|Нельзя выбрать спорную землю в тумане|Cannot select disputed land in fog
Бұл жер басқа одақтасқа бөлініп қойылған|Эта земля уже выделена другому союзнику|This land is already assigned to another ally
Бұл клетка осы жер бөлісуге кірмейді|Эта клетка не входит в раздел земель|This cell is not part of this land settlement
Үлес шегі асып кетті: {0} / {1}|Превышен предел доли: {0} / {1}|Share limit exceeded: {0} / {1}
Бітім|Перемирие|Truce
Субсидия|Субсидия|Subsidy
Субсидия {0}/ход · {1}x|Субсидия {0}/ход · {1}x|Subsidy {0}/turn · {1}x
Өтемақы {0}/ход · {1}x|Компенсация {0}/ход · {1}x|Compensation {0}/turn · {1}x
Ол сізге ${0} қарыз. Бұл — қалған қарыз, әр ходтағы табыс емес.|Он должен вам ${0}. Это остаток долга, а не доход за ход.|They owe you ${0}. This is remaining debt, not income per turn.
Сіз оған ${0} қарызсыз. Бұл — қалған қарыз, әр ходтағы шығын емес.|Вы должны ему ${0}. Это остаток долга, а не расход за ход.|You owe them ${0}. This is remaining debt, not upkeep per turn.
Соғыс қарызды жоймайды. Бітімнен кейін төлем жалғасады.|Война не отменяет долг. Выплаты возобновятся после перемирия.|War does not erase debt. Payments resume after a truce.
LAN бөлмесіне қосылу мүмкін болмады: {0}|Не удалось подключиться к LAN-комнате: {0}|Could not join LAN room: {0}
Модтар сәйкес емес.|Моды не совпадают.|Mods do not match.
LAN әрекеті қабылданбады.|LAN-действие отклонено.|LAN action rejected.
LAN қатесі.|Ошибка LAN.|LAN error.
Хост бөлмені жапты|Хост закрыл комнату|The host closed the room
Хост сізді бөлмеден шығарды|Хост исключил вас из комнаты|The host removed you from the room
Хост жарамсыз LAN жауабын жіберді.|Хост отправил недопустимый LAN-ответ.|The host sent an invalid LAN response.
LAN модының нұсқасы сәйкес емес.|Версия LAN-мода не совпадает.|LAN mod version does not match.
Хост әрекетке уақытында жауап бермеді.|Хост не ответил на действие вовремя.|The host did not respond to the action in time.
Хостпен байланыс үзілді. Қайта қосылуда…|Связь с хостом потеряна. Подключаемся…|Connection to host lost. Reconnecting…
Хост табылмады. Бөлмеге қайта кіріп көріңіз.|Хост не найден. Попробуйте войти снова.|Host not found. Try joining the room again.
Ойыншы бөлмеден шықты|Игрок вышел из комнаты|Player left the room
Хост IP бос.|IP хоста не указан.|Host IP is empty.
Хост IP жарамсыз.|Недопустимый IP хоста.|Invalid host IP.
Бөлме жабық|Комната закрыта|Room closed
LAN әрекеті орындалмады.|Не удалось выполнить LAN-действие.|LAN action failed.
Алдымен бөлмеге кіріңіз.|Сначала войдите в комнату.|Join the room first.
Ойын командасы қазір қабылданбайды.|Игровые команды сейчас не принимаются.|Game commands are not accepted right now.
Ойыншы бөлмеде жоқ.|Игрока нет в комнате.|Player is not in the room.
Күй жаңарды, әрекетті қайталаңыз.|Состояние обновилось, повторите действие.|State updated; please repeat the action.
Қазір сіздің жүрісіңіз емес.|Сейчас не ваш ход.|It is not your turn.
LAN нұсқасы сәйкес емес.|Версия LAN не совпадает.|LAN version does not match.
Бөлме коды қате.|Неверный код комнаты.|Incorrect room code.
Бөлмеге кіру үшін бірдей модтар орнатылуы керек: {0}|Для входа нужны одинаковые моды: {0}|Matching mods are required to join: {0}
Негізгі ойын нұсқасы сәйкес емес. Ойынды жаңартыңыз.|Версия основной игры не совпадает. Обновите игру.|Base game version does not match. Update the game.
Ойын басталып кетті. Қайта кіру кілті қажет.|Игра уже началась. Нужен ключ повторного входа.|The game has started. A reconnect token is required.
Бөлмеде бос орын жоқ.|В комнате нет свободных мест.|The room is full.
Ойыншы желіден шығып кетті|Игрок отключился|Player disconnected
Әскерді немесе аймақты таңдаңыз|Выберите войска или провинцию|Select troops or a province
Бұл ойыншының жүрісі емес.|Сейчас ход другого игрока.|It is another player's turn.
Алдыңғы әрекет хостта орындалып жатыр|Хост выполняет предыдущее действие|The host is processing the previous action
LAN әрекетін жіберу мүмкін болмады|Не удалось отправить LAN-действие|Could not send LAN action
Бітімге әлі {0} ход қалды|До перемирия ещё {0} ходов|Truce available in {0} turns
Ұсыныс бұрын жіберілген|Предложение уже отправлено|Offer already sent
{0}: достық ұсынылды|{0}: предложена дружба|{0}: friendship offered
{0}: әскери одақ ұсынылды|{0}: предложен военный союз|{0}: military alliance offered
{0}: бітім ұсынылды|{0}: предложено перемирие|{0}: truce offered
Келісім ұсынылды|Соглашение предложено|Agreement offered
{0}: әскери одақ тоқтатылды|{0}: военный союз расторгнут|{0}: military alliance ended
{0}: достық тоқтатылды|{0}: дружба прекращена|{0}: friendship ended
{0}: соғыс жарияланды|{0}: объявлена война|{0}: war declared
Ұсыныс қабылданды|Предложение принято|Offer accepted
Ұсыныс қабылданбады|Предложение отклонено|Offer declined
Жер бөлу ұсынысы жіберілді|Предложение о разделе отправлено|Land settlement proposal sent
Бұл жер бөлу ұсынысы жарамсыз|Это предложение о разделе недействительно|This land settlement proposal is invalid
Соғыстан кейінгі жер бөлісі бекітілді|Послевоенный раздел утверждён|Postwar land settlement approved
Жер бөлу ұсынысы қабылданды|Предложение о разделе принято|Land settlement proposal accepted
{0}: келісім жіберілді|{0}: соглашение отправлено|{0}: agreement sent
{0}: хат жіберілді|{0}: письмо отправлено|{0}: message sent
Кіріс хаттар тазартылды|Входящие письма очищены|Inbox cleared
Қара белгі қойылды|Чёрная метка поставлена|Blacklist applied
Қара белгі алынды|Чёрная метка снята|Blacklist removed
Порт 2-деңгейге дамытылды|Порт улучшен до уровня 2|Port upgraded to level 2
Порт ең жоғарғы деңгейде|Порт уже максимального уровня|Port is at maximum level
Портты дамытуға ақша жетпейді|Недостаточно денег на улучшение порта|Not enough money to upgrade port
Артиллерия {0}-деңгейге дамытылды|Артиллерия улучшена до уровня {0}|Artillery upgraded to level {0}
Артиллерия ең жоғарғы деңгейде|Артиллерия уже максимального уровня|Artillery is at maximum level
Артиллерияны дамытуға ақша жетпейді|Недостаточно денег на улучшение артиллерии|Not enough money to upgrade artillery
2-деңгейлі порт тек порттың өз панелінен дамытылады|Порт уровня 2 улучшается только в панели порта|Upgrade a level 2 port through its own panel
Алдымен өз портыңызды таңдаңыз|Сначала выберите свой порт|Select your port first
Алдымен жүрісі бар өз кемеңізді таңдаңыз|Сначала выберите свой корабль с доступным действием|First select your ship with an available action
Алдымен өз аймағыңызды таңдаңыз|Сначала выберите свою провинцию|Select your province first
Әскерді таңдаңыз|Выберите войска|Select troops
{0} теңге: сарбаз қоятын жерді таңдаңыз|{0} монет: выберите место для солдата|{0} coins: choose a place for a soldier
{0} теңге: найзагер қоятын жерді таңдаңыз|{0} монет: выберите место для копейщика|{0} coins: choose a place for a spearman
{0} теңге: рыцарь қоятын жерді таңдаңыз|{0} монет: выберите место для рыцаря|{0} coins: choose a place for a knight
{0} теңге: батыр қоятын жерді таңдаңыз|{0} монет: выберите место для героя|{0} coins: choose a place for a champion
Шаруашылық орнын таңдаңыз|Выберите место для фермы|Choose a farm location
Мұнара орнын таңдаңыз|Выберите место для башни|Choose a tower location
Қамал орнын таңдаңыз|Выберите место для крепости|Choose a fort location
Жағалаудан 1-деңгейлі порт орнын таңдаңыз|Выберите побережье для порта уровня 1|Choose a coastal site for a level 1 port
Жаңартылатын портты таңдаңыз|Выберите порт для улучшения|Choose a port to upgrade
Жаға маңынан шағын қайық орнын таңдаңыз|Выберите место у берега для малого корабля|Choose a coastal site for a small ship
Жаға маңынан үлкен қайық орнын таңдаңыз|Выберите место у берега для большого корабля|Choose a coastal site for a large ship
Жағалаудан артиллерия орнын таңдаңыз|Выберите побережье для артиллерии|Choose a coastal artillery site
Кеме жанынан теңіз бекінісінің орнын таңдаңыз|Выберите место для морской крепости у корабля|Choose a sea fort site beside your ship
Алдымен өз кемеңізді таңдаңыз|Сначала выберите свой корабль|Select your ship first
Теңіз бекінісін тек өз кемеңіз сала алады|Морскую крепость может построить только ваш корабль|Only your ship can build a sea fort
Теңіз бекінісін тек 2-деңгейлі кеме салады|Морскую крепость строит только корабль уровня 2|Only a level 2 ship can build a sea fort
Бұл кеме осы жүрісте әрекет жасап қойды|Корабль уже действовал в этом ходу|This ship has already acted this turn
Кеменің негізгі провинциясы табылмады|Основная провинция корабля не найдена|The ship's home province was not found
Теңіз бекінісіне {0} теңге керек|Морская крепость стоит {0} монет|A sea fort costs {0} coins
Кеме жанында бос жүзуге болатын су ұяшығы жоқ|Рядом с кораблём нет свободной судоходной клетки|No free navigable water cell beside the ship
Әрекет отмена жасалды|Действие отменено|Action cancelled
Артиллерияның қорғаныс және теңіздегі ату аумағы көрсетілді|Показаны защита артиллерии и морская дальность стрельбы|Artillery defense and naval firing range shown
Қорғалған аймақтар көрсетілді|Показаны защищённые клетки|Defended areas shown
Бұл провинцияда жүретін әскер жоқ|В провинции нет войск с доступным ходом|No troops in this province can move
{0} әскер осы жерге бағытталды|Сюда направлено войск: {0}|{0} troops sent here
Келесі түсірілетін әскерді таңдаңыз|Выберите следующие войска для высадки|Choose the next troops to disembark
Әскер жағаға түсті|Войска высадились|Troops disembarked
Таңдау алынды|Выбор снят|Selection cleared
Жүріс жасалды|Ход выполнен|Move completed
Бұл жүріс мүмкін емес|Этот ход невозможен|This move is not possible
Жасыл ұяшықтардың бірін таңдаңыз|Выберите одну из зелёных клеток|Choose a green cell
Аймақ таңдалды|Провинция выбрана|Province selected
Өз аймағыңызды таңдаңыз|Выберите свою провинцию|Select your province
Шекара бірден алынды|Граница захвачена сразу|Border captured immediately
Әскер қойылды|Войска размещены|Troops placed
Бұл ұяшыққа әскер қою мүмкін емес|Нельзя разместить войска на этой клетке|Cannot place troops on this cell
Құрылыс салынды|Здание построено|Building constructed
Ақша аз немесе орын бос емес|Недостаточно денег или место занято|Not enough money or the site is occupied
Қайық жалбызды тазартты: +$7, осы ходтағы жүрісі бітті|Корабль убрал водоросли: +$7, действие потрачено|Ship cleared seaweed: +$7, action used this turn
Қайық суға шығарылды|Корабль спущен на воду|Ship launched
Бұл жерге қайық шығаруға болмайды|Здесь нельзя спустить корабль|Cannot launch a ship here
Теңіз бекінісі салынды|Морская крепость построена|Sea fort built
Бекіністі тек өз кемеңіздің қасына салуға болады|Крепость можно построить только рядом со своим кораблём|Build a sea fort only beside your own ship
Әскер кемеге отырды, осы ходтағы жүрісі бітті|Войска сели на корабль, действие потрачено|Troops embarked; their action is used this turn
Бұл кемеде орын жоқ немесе ақша жетпейді|На корабле нет места или недостаточно денег|No space aboard or not enough money
Бұл жерде құрылыс жасауға болмайды|Здесь нельзя строить|Cannot build here
Әскер қайыққа отырды|Войска сели на корабль|Troops embarked
Судағы жалбыз тазартылды: +$7|Водоросли убраны: +$7|Seaweed cleared: +$7
Теңіз шайқасы аяқталды|Морской бой завершён|Naval battle completed
Қайық жүзді|Корабль переместился|Ship moved
Теңіз бекінісі таңдаудан алынды|Выбор морской крепости снят|Sea fort deselected
Қорғанысын көру үшін бекіністі басып тұрыңыз|Удерживайте крепость, чтобы увидеть защиту|Hold a fort to see its defense
Жау теңіз бекінісі|Вражеская морская крепость|Enemy sea fort
Қайық таңдаудан алынды|Выбор корабля снят|Ship deselected
Қайық таңдалды|Корабль выбран|Ship selected
Түсіретін әскерді төменнен таңдаңыз|Выберите войска для высадки внизу|Choose troops to disembark below
Теңіз аумағы таңдаудан алынды|Выбор морской области снят|Sea region deselected
Теңіз аумағы таңдалды; кемелерді шақыру үшін басып тұрыңыз|Морская область выбрана; удерживайте, чтобы собрать корабли|Sea region selected; hold to gather ships
Бұл әскер осы ходта мінді, келесі ходта түседі|Войска сели на корабль в этом ходу; высадка в следующем|These troops embarked this turn and can land next turn
Әскер таңдаудан алынды|Выбор войск снят|Troops deselected
Жасыл жағалаудан түсетін жерді таңдаңыз|Выберите зелёную клетку берега для высадки|Choose a green coastal cell to land
Теңіз бекіністерінің қорғайтын аймағы көрсетілді|Показана зона защиты морских крепостей|Sea fort defense area shown
Бұл жүрісте бағытталатын кеме жоқ|В этом ходу нет доступных кораблей|No ships can be dispatched this turn
{0} кеме осы теңіз аумағына бағытталды|В эту морскую область направлено кораблей: {0}|{0} ships sent to this sea region
Соңғы әрекет қайтарылды|Последнее действие отменено|Last action undone
{0} шықты: жері бейтарап болды|{0} вышел: земля стала нейтральной|{0} left: their land became neutral
Келесі ойыншының жүрісі|Ход следующего игрока|Next player's turn
Жағалау артиллериясы оқ атып жатыр|Стреляет береговая артиллерия|Coastal artillery is firing
AI {0} жүріп жатыр|Ходит ИИ {0}|AI {0} is playing
Сіздің жүрісіңіз|Ваш ход|Your turn
Ойын аяқталды|Игра окончена|Game over
Қосылу тоқтатылды|Подключение остановлено|Connection stopped
Сізге қарыз {0}|Должны вам {0}|Owed to you {0}
Сіз қарыз {0}|Ваш долг {0}|You owe {0}
Сізге қарыз {0} · Төлем тоқтаулы|Должны вам {0} · Выплаты приостановлены|Owed to you {0} · Payments paused
Сіз қарыз {0} · Төлем тоқтаулы|Ваш долг {0} · Выплаты приостановлены|You owe {0} · Payments paused
Ол сізге әр ходта ${0} достықты бұзғаны үшін өтемақы төлейді. {1} ход қалды. Бұл келісім сомасы; нақты төлем төлеушінің табысы мен қазынасына байланысты.|Он платит вам ${0} за ход за прекращение дружбы. Осталось {1} ходов. Это договорная сумма; выплата зависит от дохода и казны плательщика.|They pay you ${0} per turn for ending friendship. {1} turns remain. This is the agreed amount; actual payments depend on the payer's income and treasury.
Сіз оған әр ходта ${0} достықты бұзғаны үшін өтемақы төлейсіз. {1} ход қалды. Бұл келісім сомасы; нақты төлем төлеушінің табысы мен қазынасына байланысты.|Вы платите ему ${0} за ход за прекращение дружбы. Осталось {1} ходов. Это договорная сумма; выплата зависит от вашего дохода и казны.|You pay them ${0} per turn for ending friendship. {1} turns remain. This is the agreed amount; actual payments depend on your income and treasury.
Ол сізге әр ходта ${0} субсидия төлейді. {1} ход қалды. Бұл келісім сомасы; нақты төлем төлеушінің табысы мен қазынасына байланысты.|Он платит вам субсидию ${0} за ход. Осталось {1} ходов. Это договорная сумма; выплата зависит от дохода и казны плательщика.|They pay you a ${0} subsidy per turn. {1} turns remain. This is the agreed amount; actual payments depend on the payer's income and treasury.
Сіз оған әр ходта ${0} субсидия төлейсіз. {1} ход қалды. Бұл келісім сомасы; нақты төлем төлеушінің табысы мен қазынасына байланысты.|Вы платите ему субсидию ${0} за ход. Осталось {1} ходов. Это договорная сумма; выплата зависит от вашего дохода и казны.|You pay them a ${0} subsidy per turn. {1} turns remain. This is the agreed amount; actual payments depend on your income and treasury.
Картадан қарау|Посмотреть на карте|View on map
Белгіленген жерлер ұсынысқа кіреді. Қарау келісімді қабылдамайды.|Отмеченные земли входят в предложение. Просмотр не означает согласия.|Highlighted land is part of the offer. Viewing does not accept it.

Порт 1–65535 аралығында болуы керек.|Порт должен быть от 1 до 65535.|Port must be between 1 and 65535.
Хост IP · мысалы 192.168.1.20|IP хоста · например 192.168.1.20|Host IP · e.g. 192.168.1.20
LAN баптауы|Настройки LAN|LAN settings
Порт · әдепкі 7777|Порт · по умолчанию 7777|Port · default 7777
Хост пен қонақта порт бірдей болсын. IP-ге портты қосып жазу міндетті емес.|У хоста и гостя должен быть одинаковый порт. Достаточно ввести IP без порта.|Use the same port on host and guest. You can enter the IP without a port.
Қосылатын IP|IP для подключения|IP to join
Порт: {0}|Порт: {0}|Port: {0}
Басқа желі адрестері|Другие сетевые адреса|Other network addresses
Осы құрылғыда ғана|Только на этом устройстве|This device only
Порт {0} ашылмады. LAN баптауынан басқа порт таңдаңыз.|Не удалось открыть порт {0}. Выберите другой порт в настройках LAN.|Could not open port {0}. Choose another port in LAN settings.
Желі IP-і табылмады. Wi‑Fi немесе хотспотты қосып, бөлмені қайта ашыңыз.|Сетевой IP не найден. Включите Wi-Fi или точку доступа и откройте комнату снова.|No LAN IP found. Enable Wi-Fi or a hotspot and reopen the room.

Мод нысандары|Объекты мода|Mod objects
Орнын таңдаңыз|Выберите место|Choose a location
Дайын|Готово|Ready
Шабуыл жасалды|Атака выполнена|Attack complete
Осы ходта жүріп болды|Уже действовал в этом ходу|Already acted this turn
Ұшу немесе шабуыл|Полёт или атака|Fly or attack
Бағасы|Цена|Price
Шығын|Содержание|Upkeep
Көру|Обзор|Vision
Қозғалыс|Движение|Movement
Күші|Сила|Strength
Қорғаныс|Защита|Defense
Табыс|Доход|Income
Іздеу|Поиск|Search
Мод табысы|Доход мода|Mod income
Мод шығыны|Содержание объектов мода|Mod upkeep
Модтар жаңа ғимарат, құрлық әскері және ұшақ түрлерін қосады. Бағасын, шығынын, қозғалысын, қорғанысын және көру радиусын өзгертуге болады.|Моды добавляют новые здания, наземные войска и самолёты. Можно задать цену, содержание, движение, защиту и радиус обзора.|Mods add new buildings, land units and aircraft. Set their price, upkeep, movement, defense and vision range.
Үлгіде радар, аэродром, барлаушы және ұшақ бар. Ережелер JSON арқылы беріледі; орындалатын скрипттер қосылмайды.|В примере есть радар, аэродром, разведчик и самолёт. Правила задаются в JSON; исполняемые скрипты не поддерживаются.|The example includes radar, an airfield, a scout and an aircraft. Rules use JSON; executable scripts are not supported.
Құрылыс|Строительство|Construction
Өндіріс|Производство|Production
Сипаттама|Сведения|Details
Орын жоқ|Нет места|No space
Қазір қолжетімсіз|Сейчас недоступно|Unavailable now
Ақша жетпейді|Не хватает денег|Not enough money
Шекарада тыныштық ұсынамыз.|Предлагаем мирную границу.|Let's keep the border peaceful.
Соғысты тоқтатайық.|Давайте прекратим войну.|Let's end the war.
Бағаны өзгертуді ұсынамыз.|Предлагаем другую цену.|We propose a different price.
Көмекке айырбас — достық.|Помощь в обмен на дружбу.|Aid in exchange for friendship.
Төлемге айырбас — достық.|Оплата в обмен на дружбу.|Payment in exchange for friendship.
Ортақ жауға қарсы ұсыныс.|Предложение против общего врага.|An offer against our common enemy.
Өзара тиімді айырбас ұсынамыз.|Предлагаем взаимовыгодный обмен.|We propose a fair exchange.
Келістік.|Договорились.|Agreed.
Бұл соғысқа күшіміз жетпейді.|Нам не хватит сил на эту войну.|We cannot afford this war.
Қазынамыз бұл шығынды көтермейді.|Казна не выдержит этих расходов.|Our treasury cannot cover this cost.
Тиімсіз ұсыныс. Бағаны қайта қарайық.|Невыгодное предложение. Пересмотрим цену.|An unfavorable offer. Let's renegotiate.
Достықты тоқтатамыз. Өтемақы төленеді.|Прекращаем дружбу. Выплатим компенсацию.|We are ending our friendship and will pay compensation.
Өтемақы: {0} × {1} ход = {2}.|Компенсация: {0} × {1} ходов = {2}.|Compensation: {0} × {1} turns = {2}.
Бағасы {0}|Цена {0}|Price {0}
Соғыс → {0}|Война → {0}|War → {0}
